Letter,Spoken Form
a,air
b,bat
c,caf
d,drum
e,echo
f,fox
g,golf
h,harp
i,igloo
j,jerk
k,crunch
l,look
m,made
n,near
o,odd
p,pit
q,quench
r,red
s,sun
t,trap
u,urge
v,vest
w,whale
x,plex
y,yak
z,zip
